date,D_AH_Y1,D_CP_M1,D_FP_M1,CD_M1,ED_M1,FCP_M1,NFCP_M1,SWAPS_Y1,SWAPS_Y5,TB_Y1,TCMII_Y5,TCMNOM_M1,TCMNOM_Y1,TCMNOM_Y5
20100930,,,,,,0.2,0.21,,,0.25,0.13,0.12,0.26,1.41
20101031,,,,,,0.2,0.21,,,0.22,-0.32,0.14,0.23,1.18
20101130,,,,,,0.21,0.2,,,0.24,-0.21,0.13,0.25,1.35
20101231,,,,,,0.19,0.19,,,0.28,0.21,0.09,0.29,1.93
20110131,,,,,,0.21,0.19,,,0.26,0.06,0.14,0.27,1.99
20110228,,,,,,0.2,0.19,,,0.27,0.25,0.11,0.29,2.26
20110331,,,,,,0.17,0.17,,,0.24,-0.09,0.06,0.26,2.11
20110430,,,,,,0.14,0.14,,,0.23,-0.14,0.03,0.25,2.17
20110531,,,,,,0.12,0.11,,,0.17,-0.34,0.02,0.19,1.84
20110630,,,,,,0.11,0.11,,,0.17,-0.38,0.02,0.18,1.58
20110731,,,,,,0.09,0.09,,,0.18,-0.49,0.04,0.19,1.54
20110831,,,,,,0.13,0.11,,,0.11,-0.75,0.02,0.11,1.02
20110930,,,,,,0.1,0.08,,,0.1,-0.72,0.01,0.1,0.9
20111031,,,,,,0.11,0.09,,,0.11,-0.63,0.01,0.11,1.06
20111130,,,,,,0.09,0.1,,,0.11,-0.85,0.01,0.11,0.91
20111231,,,,,,0.06,0.1,,,0.11,-0.78,0,0.12,0.89
20120131,,,,,,0.06,0.09,,,0.11,-0.92,0.02,0.12,0.84
20120229,,,,,,0.09,0.12,,,0.15,-1.11,0.06,0.16,0.83
20120331,,,,,,0.12,0.13,,,0.18,-1.03,0.06,0.19,1.02
20120430,,,,,,0.1,0.13,,,0.18,-1.06,0.07,0.18,0.89
20120531,,,,,,0.12,0.13,,,0.19,-1.12,0.07,0.19,0.76
20120630,,,,,,0.13,0.14,,,0.18,-1.05,0.05,0.19,0.71
20120731,,,,,,0.13,0.14,,,0.18,-1.15,0.07,0.19,0.62
20120831,,,,,,0.14,0.14,,,0.18,-1.19,0.09,0.18,0.71
20120930,,,,,,0.11,0.12,,,0.17,-1.47,0.08,0.18,0.67
20121031,,,,,,0.12,0.14,,,0.17,-1.47,0.11,0.18,0.71
20121130,,,,,,0.15,0.14,,,0.17,-1.38,0.12,0.18,0.67
20121231,,,,,,0.1,0.13,,,0.15,-1.4,0.04,0.16,0.7
20130131,,,,,,0.11,0.12,,,0.14,-1.39,0.05,0.15,0.81
20130228,,,,,,0.11,0.12,,,0.15,-1.39,0.08,0.16,0.85
20130331,,,,,,0.11,0.1,,,0.14,-1.43,0.08,0.15,0.82
20130430,,,,,,0.1,0.08,,,0.12,-1.38,0.05,0.12,0.71
20130531,,,,,,0.09,0.07,,,0.11,-1.14,0.02,0.12,0.84
20130630,,,,,,0.07,0.07,,,0.14,-0.59,0.03,0.14,1.2
20130731,,,,,,0.08,0.06,,,0.12,-0.45,0.02,0.12,1.4
20130831,,,,,,0.07,0.05,,,0.12,-0.33,0.04,0.13,1.52
20130930,,,,,,0.06,0.05,,,0.11,-0.17,0.02,0.12,1.6
20131031,,,,,,0.09,0.07,,,0.11,-0.41,0.11,0.12,1.37
20131130,,,,,,0.07,0.05,,,0.12,-0.38,0.05,0.12,1.37
20131231,,,,,,0.07,0.06,,,0.13,-0.09,0.02,0.13,1.58
20140131,,,,,,0.07,0.05,,,0.11,-0.09,0.02,0.12,1.65
20140228,,,,,,0.07,0.06,,,0.11,-0.26,0.05,0.12,1.52
20140331,,,,,,0.07,0.06,,,0.12,-0.14,0.05,0.13,1.64
20140430,,,,,,0.07,0.05,,,0.1,-0.11,0.02,0.11,1.7
20140531,,,,,,0.07,0.05,,,0.09,-0.34,0.03,0.1,1.59
20140630,,,,,,0.07,0.06,,,0.1,-0.29,0.02,0.1,1.68
20140731,,,,,,0.08,0.07,,,0.1,-0.27,0.02,0.11,1.7
20140831,,,,,,0.09,0.08,,,0.1,-0.21,0.03,0.11,1.63
20140930,,,,,,0.09,0.06,,,0.1,0.1,0.01,0.11,1.77
20141031,,,,,,0.08,0.06,,,0.1,0.06,0.02,0.1,1.55
20141130,,,,,,0.09,0.07,,,0.12,0.14,0.04,0.13,1.62
20141231,,,,,,0.11,0.11,,,0.2,0.37,0.03,0.21,1.64
