caldt,b5ret
19731231,0.045593
19741231,0.054820
19751231,0.080709
19761231,0.124046
19771230,0.019474
19781229,0.014017
19791231,0.056721
19801231,0.038129
19811231,0.064997
19821231,0.283259
19831230,0.069908
19841231,0.148721
19851231,0.211688
19861231,0.161610
19871231,0.026125
19881230,0.057869
19891229,0.138361
19901231,0.097125
19911231,0.155827
19921231,0.073027
19931231,0.101623
19941230,-0.035880
19951229,0.171076
19961231,0.028983
19971231,0.079128
19981231,0.093144
19991231,-0.013631
20001229,0.124832
20011231,0.082663
20021231,0.131414
20031231,0.028316
20041231,0.023357
20051230,0.006417
20061229,0.027326
20071231,0.101484
20081231,0.130992
20091231,-0.024850
20101231,0.060326
20111230,0.089274
20121231,0.024179
20131231,-0.023583
20141231,0.037733
