caldt,vwretd
20110506,0.003920
20110509,0.004444
20110510,0.008069
20110511,-0.010324
20110512,0.005203
20110513,-0.008049
20110516,-0.006157
20110517,-0.000167
20110518,0.008827
20110519,0.002355
20110520,-0.007732
20110523,-0.011920
20110524,-0.000953
20110525,0.003019
20110526,0.004271
20110527,0.004343
20110531,0.010535
20110601,-0.022642
20110602,-0.001226
20110603,-0.009755
20110606,-0.010634
20110607,-0.000794
20110608,-0.004053
20110609,0.007452
20110610,-0.013762
20110613,0.000999
20110614,0.012595
20110615,-0.017561
20110616,0.001957
20110617,0.003050
20110620,0.005522
20110621,0.013557
20110622,-0.006441
20110623,-0.002695
20110624,-0.011903
20110627,0.009232
20110628,0.013162
20110629,0.008388
20110630,0.010084
20110701,0.014493
20110705,-0.001209
20110706,0.001503
20110707,0.010678
20110708,-0.006843
20110711,-0.018032
20110712,-0.004430
20110713,0.003165
20110714,-0.006812
20110715,0.005592
20110718,-0.008152
20110719,0.016329
20110720,-0.000564
20110721,0.013494
20110722,0.000963
20110725,-0.005610
20110726,-0.003890
20110727,-0.020252
20110728,-0.003164
20110729,-0.006379
20110801,-0.004214
20110802,-0.025575
20110803,0.005456
20110804,-0.047724
20110805,-0.000673
20110808,-0.066532
20110809,0.047420
20110810,-0.043752
20110811,0.046185
20110812,0.005184
20110815,0.021687
20110816,-0.009120
20110817,0.001028
20110818,-0.044371
20110819,-0.014923
20110822,0.000358
20110823,0.034443
20110824,0.013181
20110825,-0.015560
20110826,0.015294
20110829,0.028404
20110830,0.002626
20110831,0.005100
20110901,-0.011889
20110902,-0.025100
20110906,-0.007280
20110907,0.029000
20110908,-0.010623
20110909,-0.026630
20110912,0.007052
20110913,0.009622
20110914,0.013544
20110915,0.017299
20110916,0.005780
20110919,-0.009721
20110920,-0.001807
20110921,-0.029176
20110922,-0.032018
20110923,0.006359
20110926,0.023156
20110927,0.010557
20110928,-0.020290
20110929,0.007898
20110930,-0.024876
20111003,-0.028377
20111004,0.022530
20111005,0.018252
20111006,0.018482
20111007,-0.007989
20111010,0.034093
20111011,0.000591
20111012,0.009968
20111013,-0.002927
20111014,0.017325
20111017,-0.019308
20111018,0.020517
20111019,-0.012532
20111020,0.004446
20111021,0.018774
20111024,0.013028
20111025,-0.020036
20111026,0.010239
20111027,0.034398
20111028,0.000422
20111031,-0.024819
20111101,-0.027867
20111102,0.016246
20111103,0.018892
20111104,-0.006251
20111107,0.006382
20111108,0.012425
20111109,-0.036672
20111110,0.008642
20111111,0.019601
20111114,-0.009364
20111115,0.004751
20111116,-0.016475
20111117,-0.016845
20111118,-0.000391
20111121,-0.018651
20111122,-0.004026
20111123,-0.021966
20111125,-0.002483
20111128,0.029210
20111129,0.002616
20111130,0.043306
20111201,-0.001804
20111202,-0.000335
20111205,0.010460
20111206,0.001126
20111207,0.002277
20111208,-0.021145
20111209,0.016952
20111212,-0.014884
20111213,-0.008641
20111214,-0.011194
20111215,0.003335
20111216,0.003289
20111219,-0.011844
20111220,0.029901
20111221,0.001647
20111222,0.008384
20111223,0.009031
20111227,-0.000069
20111228,-0.012235
20111229,0.010645
20111230,-0.004231
20120103,0.015377
20120104,0.000388
20120105,0.002898
20120106,-0.002191
20120109,0.002330
20120110,0.008934
20120111,0.000413
20120112,0.002413
20120113,-0.004854
20120117,0.003456
20120118,0.011388
20120119,0.005104
20120120,0.000790
20120123,0.000430
20120124,-0.000915
20120125,0.008514
20120126,-0.005659
20120127,-0.001511
20120130,-0.002354
20120131,-0.000399
20120201,0.009247
20120202,0.001258
20120203,0.014701
20120206,-0.000504
20120207,0.001982
20120208,0.002557
20120209,0.001659
20120210,-0.006980
20120213,0.006931
20120214,-0.000729
20120215,-0.005095
20120216,0.011271
20120217,0.002396
20120221,0.000416
20120222,-0.003431
20120223,0.004499
20120224,0.001959
20120227,0.001445
20120228,0.003637
20120229,-0.004445
20120301,0.006162
20120302,-0.003038
20120305,-0.003730
20120306,-0.015343
20120307,0.007335
20120308,0.009749
20120309,0.003565
20120312,0.000226
20120313,0.018365
20120314,-0.001188
20120315,0.006003
20120316,0.001059
20120319,0.003783
20120320,-0.002845
20120321,-0.001866
20120322,-0.007125
20120323,0.003121
20120326,0.013912
20120327,-0.002597
20120328,-0.004715
20120329,-0.001632
20120330,0.003730
20120402,0.007407
20120403,-0.003787
20120404,-0.010034
20120405,-0.000117
20120409,-0.011358
20120410,-0.017067
20120411,0.007588
20120412,0.013798
20120413,-0.012420
20120416,-0.000450
20120417,0.015507
20120418,-0.003952
20120419,-0.005824
